,# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,References
Kepler-92,Kepler-92 c,Confirmed,0.019,0.006,0.006,,,,0.232,0.007,0.007,26.723,,,,,,0.04,0.04,0.22,,,,,2013,05/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19162065+4133465 c, K00285.02, KIC 6196457 c, KOI-285 c, KOI-285.02, WISE J191620.65+413346.7  c",,Kepler-92,289.086058,41.562941,11.6,,10.747,10.47,,484.62,5.48,5.48,0.17,0.11,0.11,1.209,0.46,0.34,1.53,0.03,0.019,,5.52,0.48,0.51,5883,94,94,,,"2MASS J19162065+4133465, KIC 6196457, KOI-285, WISE J191620.65+413346.7",
L 98-59,L 98-59 b,Confirmed,0.0013,0.0005,0.0005,,,,0.0758,0.0036,0.005505,2.2531136,1.50E-06,1.20E-06,0.02191,0.00084,0.0008,0.1,0.045,0.117,87.71,0.44,1.16,,2018,19/10/2022,192,155,70,,,,,,,2451365.204,,,,,,,,,0.53,0.22,0.14,,,,0.46,0.17,0.2,627,36,36,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-175 b,"CH4, H2, H2O",L 98-59,122.5333333,-68.31305557,11.7,,,,,10.623,0.03,0.03,-0.5,0.5,0.5,0.32,0.03,0.03,0.291,0.025,0.025,,,,,3500,150,150,,,TOI-175,
L 98-59,L 98-59 c,Confirmed,0.00698,0.00082,0.00082,,,,0.12356,0.00669,0.00848,3.6906777,2.60E-06,1.60E-06,0.0304,0.0012,0.0012,0.103,0.058,0.045,88.11,0.16,0.36,,2018,06/08/2021,261,10,20,,,,,,,2451367.275,,,,,,,,,0.6,0.066,0.08,,,,2.19,0.2,0.17,553,27,27,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-175 c,,L 98-59,122.5333333,-68.31305557,11.7,,,,,10.623,0.03,0.03,-0.5,0.5,0.5,0.32,0.03,0.03,0.291,0.025,0.025,,,,,3500,150,150,,,TOI-175,
L 98-59,L 98-59 d,Confirmed,0.0061,0.00088,0.00088,,,,0.1357,0.00874,0.0107,7.4507245,4.60E-06,8.00E-06,0.0486,0.0019,0.0019,0.074,0.046,0.057,88.449,0.11,0.06,,2018,06/08/2021,180,50,27,,,,,,,2451362.738,,,,,,,,,0.922,0.06,0.06,,,,1.5,0.19,0.22,416,20,20,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-175 d,,L 98-59,122.5333333,-68.31305557,11.7,,,,,10.623,0.03,0.03,-0.5,0.5,0.5,0.32,0.03,0.03,0.291,0.025,0.025,,,,,3500,150,150,,,TOI-175,
PSR 1257 12,PSR 1257 12 b,Confirmed,7.00E-05,,,,,,,,,25.262,0.003,0.003,0.19,,,0,,,,,,0.00038,1992,25/02/2014,360,,,2449765.1,0.3,0.3,,,,,,,,,,,,,,,,49765.1,0.2,0.2,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,PSR 1257 12,195.0166667,12.6822222,,,,,,710,40,40,,,,,,,,,,PSR,1,0,0,,,,,,,
PSR 1257 12,PSR 1257 12 c,Confirmed,0.013,,,,,,,,,66.5419,0.0001,0.0001,0.36,,,0.0186,0.0002,0.0002,53,4,4,0.00072,1992,25/02/2014,250.4,6,6,2449768.1,0.1,0.1,,,,,,,,,,,,,,,,49768.1,0.1,0.1,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,PSR 1257 12,195.0166667,12.6822222,,,,,,710,40,40,,,,,,,,,,PSR,1,0,0,,,,,,,
PSR 1257 12,PSR 1257 12 d,Confirmed,0.012,0.0006,0.0006,,,,,,,98.2114,0.0002,0.0002,0.46,,,0.0252,0.0002,0.0002,47,3,3,0.00092,1992,25/02/2014,108.3,5,5,2449765.5,0.1,0.1,,,,,,,,,,,,,,,,49766.5,0.1,0.1,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,PSR 1257 12,195.0166667,12.6822222,,,,,,710,40,40,,,,,,,,,,PSR,1,0,0,,,,,,,
TOI-1136,TOI-1136 b,Confirmed,0.00947,0.0028,0.0022,,,,0.17,0.0134,0.0187,4.17278,0.00018,0.00024,,,,0.031,0.021,0.038,86.44,0.21,0.27,,2022,19/10/2022,45,10,26,,,,,,,,,,,,,,,,0.705,0.056,0.046,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1136,192.1833333,64.8552778,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770,50,50,,,,
TOI-1136,TOI-1136 c,Confirmed,0.019,0.0053,0.0041,,,,0.25685,0.00553,0.00553,6.25725,0.00025,0.00017,,,,0.117,0.028,0.028,89.42,0.55,0.3,,2022,19/10/2022,247,4,3.7,,,,,,,,,,,,,,,,0.15,0.1,0.14,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1136,192.1833333,64.8552778,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770,50,50,,,,
TOI-1136,TOI-1136 d,Confirmed,0.025,0.006,0.0076,,,,0.4128,0.00642,0.00687,12.51937,0.00041,0.00037,,,,0.016,0.01,0.013,89.41,0.28,0.28,,2022,19/10/2022,118,44,36,,,,,,,,,,,,,5,5,5,0.24,0.11,0.11,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1136,192.1833333,64.8552778,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770,50,50,,,,
TOI-1136,TOI-1136 e,Confirmed,0.017,0.003,0.003,,,,0.23544,0.00785,0.00642,18.7922,0.0015,0.0017,,,,0.057,0.013,0.01,89.31,0.18,0.28,,2022,19/10/2022,294,11,8,,,,,,,,,,,,,,,,0.37,0.14,0.093,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1136,192.1833333,64.8552778,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770,50,50,,,,
TOI-1136,TOI-1136 f,Confirmed,0.0261,0.0113,0.0088,,,,0.3462,0.0098,0.0098,26.3162,0.0013,0.0017,,,,0.012,0.0097,0.019,89.38,0.17,0.22,,2022,19/10/2022,140,8.9,8.9,,,,,,,,,,,,,,,,0.42,0.15,0.11,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1136,192.1833333,64.8552778,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770,50,50,,,,
TOI-1136,TOI-1136 g,Confirmed,0.0151,0.0104,0.0148,,,,0.2257,0.0107,0.0107,39.5387,0.003,0.0036,,,,0.036,0.018,0.026,89.65,0.19,0.19,,2022,19/10/2022,273,31,17,,,,,,,,,,,,,,,,0.31,0.16,0.11,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1136,192.1833333,64.8552778,9.5,,,,,84.536,0.16,0.16,0.07,0.06,0.06,1.022,0.027,0.027,0.968,0.036,0.036,,0.7,0.1,0.1,5770,50,50,,,,
TOI-1246,TOI-1246 b,Confirmed,0.0255,0.0035,0.0035,,,,0.2685,0.0054,0.0054,4.30744,2.00E-05,2.00E-05,0.049,0.002,0.002,,,,87.9,0.4,0.4,,2022,27/04/2022,,,,,,,,,,2458686.566,0.001,0.001,,,,,,,0.49,0.07,0.07,,,,3.44,0.64,0.64,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1246,251.1166667,70.43000002,11.6,,,,,170.7,0.03,0.03,0.17,0.06,0.06,0.87,0.03,0.03,0.86,0.05,0.05,,,,,5141,122,122,,,,
TOI-1246,TOI-1246 c,Confirmed,0.0277,0.0038,0.0038,,,,0.2239,0.0071,0.0071,5.904144,8.30E-05,8.30E-05,0.061,0.002,0.002,,,,89.3,0.5,0.5,,2022,27/04/2022,,,,,,,,,,2458683.466,0.0027,0.0027,,,,,,,0.2,0.15,0.15,,,,2.99,0.62,0.62,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1246,251.1166667,70.43000002,11.6,,,,,170.7,0.03,0.03,0.17,0.06,0.06,0.87,0.03,0.03,0.86,0.05,0.05,,,,,5141,122,122,,,,
TOI-1246,TOI-1246 d,Confirmed,0.0167,0.0053,0.0053,,,,0.3131,0.008,0.008,18.6559,0.00048,0.00048,0.131,0.004,0.004,,,,89.5,0.2,0.2,,2022,27/04/2022,,,,,,,,,,2458688.965,0.009,0.009,,,,,,,0.29,0.11,0.11,,,,1.66,0.64,0.64,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1246,251.1166667,70.43000002,11.6,,,,,170.7,0.03,0.03,0.17,0.06,0.06,0.87,0.03,0.03,0.86,0.05,0.05,,,,,5141,122,122,,,,
TOI-1246,TOI-1246 e,Confirmed,0.0466,0.0072,0.0072,,,,0.3372,0.0143,0.0143,37.9216,0.001,0.001,0.211,0.007,0.007,,,,89.3,0.1,0.1,,2022,27/04/2022,,,,,,,,,,2458700.713,0.0089,0.0089,,,,,,,0.73,0.04,0.04,,,,3.67,0.65,0.65,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1246,251.1166667,70.43000002,11.6,,,,,170.7,0.03,0.03,0.17,0.06,0.06,0.87,0.03,0.03,0.86,0.05,0.05,,,,,5141,122,122,,,,
TOI-125,TOI-125 b,Confirmed,0.0299,0.00277,0.00277,,,,0.2432,0.00669,0.00669,4.65382,0.00031,0.00033,0.05186,0.00077,0.00086,0.194,0.036,0.041,88.92,0.6,0.7,,2019,04/03/2020,323,14,12,,,,,,,2458355.355,0.001,0.001,,,,,,,0.27,0.18,0.17,,,,4.11,0.36,0.36,1037,11,11,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,TOI-125,23.59345834,-66.67633335,,,,,,111.4,0.44,0.44,-0.02,0.03,0.03,0.859,0.038,0.044,0.848,0.011,0.011,K0V,6.8,4.3,4.3,5320,39,39,,,,
TOI-125,TOI-125 c,Confirmed,0.02086,0.00311,0.00311,,,,0.24614,0.009,0.009,9.15059,0.00082,0.0007,0.0814,0.0013,0.0013,0.066,0.047,0.07,88.54,0.19,0.41,,2019,04/03/2020,70,-110,100,,,,,,,2458361.909,0.0013,0.0013,,,,,,,0.522,0.18,0.086,,,,2.25,0.33,0.33,827.8,8.6,8.6,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,TOI-125,23.59345834,-66.67633335,,,,,,111.4,0.44,0.44,-0.02,0.03,0.03,0.859,0.038,0.044,0.848,0.011,0.011,K0V,6.8,4.3,4.3,5320,39,39,,,,
TOI-125,TOI-125 d,Confirmed,0.0428,0.0038,0.0038,,,,0.2614,0.0152,0.0152,19.98,0.0056,0.005,0.137,0.0022,0.0022,0.168,0.062,0.088,88.795,0.1,0.18,,2019,04/03/2020,46,44,23,,,,,,,2458342.852,0.0039,0.0039,,,,,,,0.652,0.16,0.093,,,,3.61,0.31,0.31,638.1,6.6,6.6,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,TOI-125,23.59345834,-66.67633335,,,,,,111.4,0.44,0.44,-0.02,0.03,0.03,0.859,0.038,0.044,0.848,0.011,0.011,K0V,6.8,4.3,4.3,5320,39,39,,,,
TOI-1260,TOI-1260 b,Confirmed,0.02693,0.00485,0.00485,,,,0.215,0.0045,0.0045,3.127463,5.00E-06,5.00E-06,0.0367,0.0011,0.0011,0,,,89.03,0.6,0.6,,2021,09/12/2022,,,,,,,,,,2459065.564,0.000396,0.000396,,,,,,,0.2,0.12,0.12,,,,4.93,0.83,0.83,871,24,24,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1260,157.1458333,65.85416669,11.9,,,,,73.41,0.07,0.07,,,,0.66,0.01,0.01,0.65,0.01,0.01,K6V,,,,4227,85,85,,,,
TOI-1260,TOI-1260 c,Confirmed,0.0415,0.01331,0.01331,,,,0.2462,0.0062,0.0062,7.493134,2.00E-05,2.00E-05,0.0657,0.002,0.002,0,,,87.97,0.11,0.11,,2021,09/12/2022,,,,,,,,,,2459068.271,0.000577,0.000577,,,,,,,0.75,0.02,0.02,,,,5.67,1.77,1.77,651,18,18,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1260,157.1458333,65.85416669,11.9,,,,,73.41,0.07,0.07,,,,0.66,0.01,0.01,0.65,0.01,0.01,K6V,,,,4227,85,85,,,,
TOI-1260,TOI-1260 d,Confirmed,0.03725,0.0245,0.0245,,,,0.2783,0.0071,0.0071,16.608,8.30E-05,8.30E-05,0.1116,0.0033,0.0033,0,,,89.14,0.1,0.1,,2022,09/12/2022,,,,,,,,,,2459062.017,0.00131,0.00131,,,,,,,0.53,0.05,0.05,,,,3.9,2.54,2.54,499,14,14,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1260,157.1458333,65.85416669,11.9,,,,,73.41,0.07,0.07,,,,0.66,0.01,0.01,0.65,0.01,0.01,K6V,,,,4227,85,85,,,,
TOI-1749,TOI-1749 b,Confirmed,0.06,0.041,0.069,,,,0.124,0.018,0.018,2.38839,0.00066,0.00031,0.0291,0.0005,0.0005,0.02,0.02,0.06,86.4,0.6,0.9,,2021,10/09/2022,131,57,97,,,,,,,2458684.361,0.005,0.007,,,,,,,0.75,0.2,0.11,,,,,,,831,18,18,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1749,282.7375,64.41944446,13.9,,,,,99.56,0.12,0.12,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,M0V,,,,3985,55,55,,,,
TOI-1749,TOI-1749 c,Confirmed,0.0066,0.005,0.0179,,,,0.1891,0.0107,0.0107,4.4929,0.0027,0.0038,0.0443,0.0008,0.0008,0.007,0.005,0.007,88.8,0.3,1,,2021,10/09/2022,103,57,182,,,,,,,2458685.939,0.0019,0.0028,,,,,,,36,0.31,0.09,,,,,,,673,15,15,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1749,282.7375,64.41944446,13.9,,,,,99.56,0.12,0.12,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,M0V,,,,3985,55,55,,,,
TOI-1749,TOI-1749 d,Confirmed,0.0135,0.011,0.0195,,,,0.2248,0.0134,0.0134,9.0497,0.0032,0.0049,0.0707,0.0012,0.0012,0.015,0.011,0.017,88.53,0.09,0.11,,2021,10/09/2022,217,125,74,,,,,,,2458688.781,0.0028,0.0028,,,,,,,0.717,0.032,0.028,,,,,,,533,12,12,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1749,282.7375,64.41944446,13.9,,,,,99.56,0.12,0.12,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,M0V,,,,3985,55,55,,,,
TOI-178,TOI-178 b,Confirmed,0.00472,0.00138,0.00123,,,,0.10278,0.006629,0.006629,1.914558,1.80E-05,1.80E-05,0.02607,0.00078,0.00078,,,,88.8,1.3,0.8,,2020,05/02/2021,,,,,,,,,,2458741.637,0.0043,0.003,,,,,,,0.17,0.13,0.19,,,,1.05,0.3,0.25,1040,22,22,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-178 b,,TOI-178,7.300000004,-30.45361112,12,,,,,63,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316,70,70,,,TYC 6991-475-1,
TOI-178,TOI-178 c,Confirmed,0.01501,0.00214,0.00173,,,,0.1489,0.00883,0.01017,3.23845,2.00E-05,2.00E-05,0.037,0.0011,0.0011,,,,88.4,1.6,1.1,,2018,05/02/2021,,,,,,,,,,2458741.478,0.0029,0.0034,,,,,,,0.34,0.3,0.23,,,,2.77,0.33,0.22,873,18,18,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-178 c,,TOI-178,7.300000004,-30.45361112,12,,,,,63,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316,70,70,,,TYC 6991-475-1,
TOI-178,TOI-178 d,Confirmed,0.00947,0.00289,0.00227,,,,0.22946,0.00696,0.00669,6.5577,1.60E-05,1.60E-05,0.0592,0.0018,0.0018,,,,88.58,0.18,0.2,,2018,05/02/2021,,,,,,,,,,2458747.146,0.00095,0.00087,,,,,,,0.485,0.06,0.051,,,,1.34,0.39,0.31,690,14,14,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-178 d,,TOI-178,7.300000004,-30.45361112,12,,,,,63,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316,70,70,,,TYC 6991-475-1,
TOI-178,TOI-178 e,Confirmed,0.01214,0.00299,0.00337,,,,0.1969,0.008,0.00785,9.961881,4.20E-05,4.20E-05,0.0783,0.0023,0.0024,,,,88.71,0.13,0.16,,2020,05/02/2021,,,,,,,,,,2458751.466,0.0019,0.0014,,,,,,,0.583,0.066,0.046,,,,1.62,0.34,0.41,600,12,12,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-178,7.300000004,-30.45361112,12,,,,,63,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316,70,70,,,TYC 6991-475-1,
TOI-178,TOI-178 f,Confirmed,0.02429,0.00478,0.00525,,,,0.20403,0.0098,9.64,15.231915,9.50E-05,0.000115,0.1039,0.0031,0.0031,,,,88.723,0.69,0.071,,2019,05/02/2021,,,,,,,,,,2458745.718,0.0027,0.0023,,,,,,,0.765,0.031,0.027,,,,2.76,0.42,0.46,521,11,11,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-178,7.300000004,-30.45361112,12,,,,,63,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316,70,70,,,TYC 6991-475-1,
TOI-178,TOI-178 g,Confirmed,0.0124,0.0051,0.00412,,,,0.256,0.0116,0.0125,20.7095,0.00011,0.00014,0.1275,0.0039,0.0038,,,,88.823,0.045,0.047,,2020,05/02/2021,,,,,,,,,,2458748.03,0.0017,0.0023,,,,,,,0.866,0.019,0.0127,,,,1.3,0.59,0.38,470,10,10,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-178,7.300000004,-30.45361112,12,,,,,63,0.2,0.2,-0.23,0.05,0.05,0.65,0.029,0.029,0.651,0.011,0.011,,7.1,5.3,6.1,4316,70,70,,,TYC 6991-475-1,
TOI-270,TOI-270 b,Confirmed,0.006,0.0022,0.0047,,,,0.11125,0.0074,0.0074,3.36008,7.00E-05,6.50E-05,0.0306,0.0057,0.0033,0,,,88.65,1.4,0.85,,2019,15/03/2019,,,,,,,,,,2458461.015,0.00093,0.00084,,,,,,,,,,,,,,,,528,32,56,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,TOI-270,68.41666668,-51.95611114,12.6,,,,,22.453,0.021,0.021,-0.17,0.1,0.1,0.4,0.02,0.02,0.38,0.02,0.02,M3.0V,,,,3386,131,137,,,,
TOI-270,TOI-270 c,Confirmed,0.0208,0.0088,0.0164,,,,0.2159,0.0116,0.0116,5.660172,3.50E-05,3.50E-05,0.0472,0.0033,0.0033,0,,,89.53,0.42,0.3,,2019,15/03/2019,,,,,,,,,,,,,2458463.085,0.00025,0.00025,,,,,,,,,,,,,424,20,20,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,TOI-270,68.41666668,-51.95611114,12.6,,,,,22.453,0.021,0.021,-0.17,0.1,0.1,0.4,0.02,0.02,0.38,0.02,0.02,M3.0V,,,,3386,131,137,,,,
TOI-270,TOI-270 d,Confirmed,0.017,0.0066,0.013,,,,0.19,0.0107,0.0107,11.38014,0.00011,0.00011,0.0733,0.0042,0.0042,0,,,89.69,0.12,0.16,,2019,15/03/2019,,,,,,,,,,2458469.338,0.00046,0.00052,,,,,,,,,,,,,,,,340,14,14,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-270,68.41666668,-51.95611114,12.6,,,,,22.453,0.021,0.021,-0.17,0.1,0.1,0.4,0.02,0.02,0.38,0.02,0.02,M3.0V,,,,3386,131,137,,,,
TOI-431,TOI-431 b,Confirmed,0.00966,0.0011,0.0011,,,,0.1142,0.0036,0.0036,0.490047,7.00E-06,1.00E-05,0.0113,0.003,0.002,0,,,84.3,1.3,1.1,,2021,06/08/2021,,,,,,,,,,2458627.538,0.002,0.003,,,,,,,0.34,0.06,0.07,,,,2.88,0.3,0.3,1862,42,42,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 26013 b,,TOI-431,83.27083334,-26.72388891,9.12,,,,,32.61,0.01,0.01,0.2,0.05,0.05,0.78,0.07,0.07,0.731,0.022,0.022,,,,,4850,75,75,,,HIP 26013,
TOI-431,TOI-431 c,Confirmed,2.84,0.34,inf,2.83,0.34,0.41,,,,4.8494,0.0002,0.0003,0.052,0.001,0.001,0,,,86.4,86.4,0,,2021,06/08/2021,,,,2458625.9,0.1,0.1,,,,,,,,,,,,,,,,,,,1.23,0.14,0.17,867,20,20,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 26013 c,,TOI-431,83.27083334,-26.72388891,9.12,,,,,32.61,0.01,0.01,0.2,0.05,0.05,0.78,0.07,0.07,0.731,0.022,0.022,,,,,4850,75,75,,,HIP 26013,
TOI-431,TOI-431 d,Confirmed,0.0311,0.00469,0.00481,,,,0.2935,0.008,0.008,12.46103,2.00E-05,2.00E-05,0.098,0.002,0.002,0,,,89.7,0.2,0.2,,2021,06/08/2021,,,,,,,,,,2458627.545,0.0003,0.0003,,,,,,,0.15,0.1,0.12,,,,3.16,0.46,0.46,633,14,14,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 26013 d,,TOI-431,83.27083334,-26.72388891,9.12,,,,,32.61,0.01,0.01,0.2,0.05,0.05,0.78,0.07,0.07,0.731,0.022,0.022,,,,,4850,75,75,,,HIP 26013,
TOI-561,TOI-561 b,Confirmed,0.00705,0.0006,0.0006,,,,0.1222,0.0036,0.0036,0.4465688,8.00E-07,8.00E-07,0.0106,0.0004,0.0004,0,,,,,,,2020,14/10/2022,,,,,,,,,,2458517.499,0.003,0.0022,,,,,,,0.3,0.2,0.2,,,,2.18,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-561,148.1833333,6.216111128,9.5,,,,,86.01,0.4,0.4,-0.4,0.05,0.05,0.805,0.03,0.03,0.832,0.019,0.019,,10,3,3,5326,64,64,,,,
TOI-561,TOI-561 c,Confirmed,0.0208,0.0023,0.0023,,,,0.2596,0.0036,0.0036,10.778831,3.60E-05,3.60E-05,0.089,0.003,0.003,0,,,,,,,2020,14/10/2022,,,,,,,,,,2458527.058,0.00053,0.00053,,,,,,,0.3,0.2,0.2,,,,2.22,0.23,0.23,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-561,148.1833333,6.216111128,9.5,,,,,86.01,0.4,0.4,-0.4,0.05,0.05,0.805,0.03,0.03,0.832,0.019,0.019,,10,3,3,5326,64,64,,,,
TOI-561,TOI-561 d,Confirmed,0.03823,0.0035,0.0035,,,,0.2516,0.0062,0.0062,25.7124,0.0002,0.0002,0.159,0.006,0.006,,,,,,,,2020,14/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,3.04,0.25,0.25,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-561,148.1833333,6.216111128,9.5,,,,,86.01,0.4,0.4,-0.4,0.05,0.05,0.805,0.03,0.03,0.832,0.019,0.019,,10,3,3,5326,64,64,,,,
TOI-561,TOI-561 e,Confirmed,0.0428,0.0044,0.0044,,,,0.2275,0.0116,0.0116,77.03,0.25,0.25,0.33,0.01,0.01,,,,,,,,2020,14/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,2.36,0.23,0.23,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-561,148.1833333,6.216111128,9.5,,,,,86.01,0.4,0.4,-0.4,0.05,0.05,0.805,0.03,0.03,0.832,0.019,0.019,,10,3,3,5326,64,64,,,,
TOI-700,TOI-700 b,Confirmed,0.00406,0.00116,0.003,,,,0.08154,0.00437,0.00473,9.977219,3.80E-05,4.10E-05,0.0677,0.0011,0.0011,0.075,0.054,0.093,89.6,0.29,0.29,,2020,12/01/2023,210,130,120,,,,,,,2458880.099,0.0016,0.0016,,,,,,,0.24,0.16,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-700,97.09583334,-65.57944447,13,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0,10,3480,135,135,,,,
TOI-700,TOI-700 c,Confirmed,0.0249,0.0057,0.0085,,,,0.232,0.0125,0.0125,16.051137,2.00E-05,2.00E-05,0.0929,0.0015,0.0015,0.068,0.049,0.07,88.9,0.087,0.071,,2020,11/01/2023,30,120,120,,,,,,,2458821.622,0.00042,0.00041,2458332.06,0.69,0.69,,,,0.899,0.017,0.014,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-700,97.09583334,-65.57944447,13,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0,10,3480,135,135,,,,
