,# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,References
Kepler-79,Kepler-79 c,Confirmed,0.019,0.0072,0.006,,,,0.332,0.007,0.007,27.4029,0.0006,0.0008,0.187,0.003,0.002,0.03,0.021,0.027,89.48,0.09,0.07,,2012,05/02/2021,,,,,,,2455706.475,0.004,0.004,,,,,,,,,,0.278,0.037,0.047,,,,,,,685,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J20020411+4422536 c, K00152.02, KIC 8394721 c, KOI-152 c, KOI-152.02, WISE J200204.12+442253.3  c",,Kepler-79,300.517131,44.38158,14.11,,12.913,12.653,,1051.43,17.98,17.98,-0.073,0.009,0.062,1.17,0.04,0.04,1.3,0.03,0.03,,3.44,0.91,0.6,6174,117,83,,,"KOI-152, 2MASS J20020411+4422536, KIC 8394721, WISE J200204.12+442253.3",
Kepler-79,Kepler-79 d,Confirmed,0.019,0.005,0.0066,,,,0.639,0.014,0.012,52.0902,0.001,0.001,0.287,0.004,0.004,0.025,0.023,0.059,89.93,0.03,0.07,,2014,05/02/2021,,,,,,,2455721.011,0.001,0.002,,,,,,,,,,0.056,0.056,0.022,,,,,,,553,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J20020411+4422536 d, K00152.01, KIC 8394721 d, KOI-152 d, KOI-152.01, WISE J200204.12+442253.3  d",,Kepler-79,300.517131,44.38158,14.11,,12.913,12.653,,1051.43,17.98,17.98,-0.073,0.009,0.062,1.17,0.04,0.04,1.3,0.03,0.03,,3.44,0.91,0.6,6174,117,83,,,"KOI-152, 2MASS J20020411+4422536, KIC 8394721, WISE J200204.12+442253.3",
Kepler-79,Kepler-79 e,Confirmed,0.013,0.0035,0.0038,,,,0.311,0.012,0.012,81.0659,0.0013,0.0013,0.386,0.005,0.005,0.012,0.005,0.044,89.13,0.02,0.02,,2014,05/02/2021,,,,,,,2455702.126,0.005,0.003,,,,,,,,,,0.963,0.016,0.015,,,,,,,477,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J20020411+4422536 e, K00152.04, KIC 8394721 e, KOI-152 e, KOI-152.04, WISE J200204.12+442253.3  e",,Kepler-79,300.517131,44.38158,14.11,,12.913,12.653,,1051.43,17.98,17.98,-0.073,0.009,0.062,1.17,0.04,0.04,1.3,0.03,0.03,,3.44,0.91,0.6,6174,117,83,,,"KOI-152, 2MASS J20020411+4422536, KIC 8394721, WISE J200204.12+442253.3",
Kepler-80,Kepler-80 b,Confirmed,0.0218,0.0022,0.0033,,,,0.238,0.009,0.009,7.05246,0.00022,0.0002,0.0648,0.0009,0.0009,,,,89.34,0.62,0.46,,2012,05/02/2021,,,,,,,2455658.399,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,,"KOI-500 b, 2MASS J19442701+3958436 b, K00500.01, KIC 4852528 b, KOI-500.01, WISE J194427.01+395843.5  b",,Kepler-80,296.112564,39.978779,15,,12.954,12.354,,357,,,0.04,0.08,0.08,0.73,0.03,0.03,0.68,0.02,0.02,K5,2,-1,1,4540,100,100,,,"KOI-500, 2MASS J19442701+3958436, KIC 4852528, WISE J194427.01+395843.5",
Kepler-80,Kepler-80 c,Confirmed,0.02121,0.00271,0.00387,,,,0.244,0.009,0.011,9.52355,0.00029,0.00041,0.0792,0.0011,0.0011,,,,89.33,0.57,0.47,,2012,05/02/2021,,,,,,,2455696.047,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"KOI-500 c, 2MASS J19442701+3958436 c, K00500.02, KIC 4852528 c, KOI-500.02, WISE J194427.01+395843.5  c",,Kepler-80,296.112564,39.978779,15,,12.954,12.354,,357,,,0.04,0.08,0.08,0.73,0.03,0.03,0.68,0.02,0.02,K5,2,-1,1,4540,100,100,,,"KOI-500, 2MASS J19442701+3958436, KIC 4852528, WISE J194427.01+395843.5",
Kepler-80,Kepler-80 d,Confirmed,0.02124,0.0016,0.00217,,,,0.136,0.006,0.008,3.07222,4.00E-05,6.00E-05,0.0372,0.0005,0.0005,,,,88.35,1.51,1.12,,2014,05/02/2021,,,,,,,2455695.129,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,,"KOI-500 d, 2MASS J19442701+3958436 d, K00500.03, KIC 4852528 d, KOI-500.03, WISE J194427.01+395843.5  d",,Kepler-80,296.112564,39.978779,15,,12.954,12.354,,357,,,0.04,0.08,0.08,0.73,0.03,0.03,0.68,0.02,0.02,K5,2,-1,1,4540,100,100,,,"KOI-500, 2MASS J19442701+3958436, KIC 4852528, WISE J194427.01+395843.5",
Kepler-80,Kepler-80 e,Confirmed,0.01299,0.00299,0.00255,,,,0.143,0.006,0.007,4.64489,0.00019,0.0002,0.0491,0.0007,0.0007,,,,88.79,1.07,0.84,,2014,05/02/2021,,,,,,,2455696.915,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,,"KOI-500 e, 2MASS J19442701+3958436 e, K00500.04, KIC 4852528 e, KOI-500.04, WISE J194427.01+395843.5  e",,Kepler-80,296.112564,39.978779,15,,12.954,12.354,,357,,,0.04,0.08,0.08,0.73,0.03,0.03,0.68,0.02,0.02,K5,2,-1,1,4540,100,100,,,"KOI-500, 2MASS J19442701+3958436, KIC 4852528, WISE J194427.01+395843.5",
Kepler-82,Kepler-82 b,Confirmed,0.03823,0.00274,0.00302,,,,0.363,0.009,0.021,26.44,0.48,0.48,0.1683,0.002,0.002,0.0033,0.00017,0.0019,89.052,0.096,0.049,,2012,05/02/2021,236,26,23,,,,,,,2455027.125,0.00138,0.00138,,,,,,,,,,,,,,,,581,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"KOI-880 b, 2MASS J19312961+4257580 b, K00880.01, KIC 7366258 b, KOI-880.01, WISE J193129.62+425758.0  b",,Kepler-82,292.87339,42.966137,,,13.879,13.527,13.518,927.97,23.07,23.07,0.15,0.1,0.1,0.91,0.03,0.03,0.9,0.02,0.04,,,,,5428,100,100,,,"KOI-880, KIC 7366258, 2MASS J19312961+4257580 , 2MASS J19312961+4257580, WISE J193129.62+425758.0",
Kepler-82,Kepler-82 c,Confirmed,0.04373,0.00378,0.00409,,,,0.476,0.012,0.029,51.54,0.94,0.94,0.2626,0.0032,0.0032,0.007,0.0018,0.0016,90.15,0.22,0.18,,2012,05/02/2021,162,20,12,,,,,,,2455007.114,0.00099,0.00099,,,,,,,,,,,,,,,,464,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19312961+4257580 c, K00880.02, KIC 7366258 c, KOI-880 c, KOI-880.02, WISE J193129.62+425758.0  c",,Kepler-82,292.87339,42.966137,,,13.879,13.527,13.518,927.97,23.07,23.07,0.15,0.1,0.1,0.91,0.03,0.03,0.9,0.02,0.04,,,,,5428,100,100,,,"KOI-880, KIC 7366258, 2MASS J19312961+4257580 , 2MASS J19312961+4257580, WISE J193129.62+425758.0",
Kepler-82,Kepler-82 f,Confirmed,0.06576,0.00315,0.00315,,,,,,,75.732,0.012,0.012,0.3395,0.0041,0.0041,0.0014,0.001,0.0018,86.3,0.56,0.56,,2019,05/02/2021,62,47,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,TTV,,"2MASS J19312961+4257580 f, KIC 7366258 f, KOI-880 f, WISE J193129.62+425758.0 f",,Kepler-82,292.87339,42.966137,,,13.879,13.527,13.518,927.97,23.07,23.07,0.15,0.1,0.1,0.91,0.03,0.03,0.9,0.02,0.04,,,,,5428,100,100,,,"KOI-880, KIC 7366258, 2MASS J19312961+4257580 , 2MASS J19312961+4257580, WISE J193129.62+425758.0",
Kepler-89,Kepler-89 b,Confirmed,0.033,0.014,0.014,,,,0.153,0.014,0.014,3.743208,1.50E-05,1.50E-05,0.05119,0.00067,0.00067,0.25,0.17,0.17,89.3,0.57,0.57,,2013,08/03/2021,,,,,,,2454964.618,0.0021,0.0021,2454965.74,0.00019,0.00019,,,,,,,0.088,0.072,0.072,,,,3.3,1.4,1.4,1486,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19491993+4153280 b, K00094.04, KIC 6462863 b, KOI-94 A b, KOI-94.04, Kepler-89 A b, Kepler-89 b, WISE J194919.96+415327.9  b, KOI-94 b",,KOI-94,297.333057,41.891117,12.4,,11.218,10.957,,483.65,5.05,5.05,0.023,0.002,0.002,1.28,0.05,0.05,1.52,0.14,0.14,,3.16,-0.39,0.39,6182,58,58,,,"KOI-94, 2MASS J19491993+4153280, KIC 6462863, KOI-94 A, Kepler-89, Kepler-89 A, WISE J194919.96+415327.9",
Kepler-89,Kepler-89 c,Confirmed,0.049,0.049,0.018,,,,0.385,0.037,0.037,10.423648,1.60E-05,1.60E-05,0.1013,0.0013,0.0013,0.43,0.23,0.23,88.36,0.75,0.75,,2013,08/03/2021,,,,,,,2454971.009,0.00103,0.00103,2454971.007,0.00093,0.00093,,,,,,,0.41,0.018,0.018,,,,3.5,3.5,1.3,1012,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19491993+4153280 c, K00094.02, KIC 6462863 c, KOI-94 A c, KOI-94.02, Kepler-89 A c, Kepler-89 c, WISE J194919.96+415327.9  c, KOI-94 c",,KOI-94,297.333057,41.891117,12.4,,11.218,10.957,,483.65,5.05,5.05,0.023,0.002,0.002,1.28,0.05,0.05,1.52,0.14,0.14,,3.16,-0.39,0.39,6182,58,58,,,"KOI-94, 2MASS J19491993+4153280, KIC 6462863, KOI-94 A, Kepler-89, Kepler-89 A, WISE J194919.96+415327.9",
Kepler-89,Kepler-89 d,Confirmed,0.334,0.035,0.035,,,,1.005,0.095,0.095,22.342989,6.70E-06,6.70E-06,0.1684,0.0022,0.0022,0.022,0.038,0.038,89.871,0.123,0.123,,2013,08/03/2021,,,,,,,2454965.741,0.00015,0.00015,2454965.74,0.00019,0.00019,,,,,,,0.055,0.051,0.051,,,,18.3,1.5,1.5,806,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19491993+4153280 d, K00094.01, KIC 6462863 d, KOI-94 A d, KOI-94.01, Kepler-89 A d, Kepler-89 d, WISE J194919.96+415327.9  d, KOI-94 d",,KOI-94,297.333057,41.891117,12.4,,11.218,10.957,,483.65,5.05,5.05,0.023,0.002,0.002,1.28,0.05,0.05,1.52,0.14,0.14,,3.16,-0.39,0.39,6182,58,58,,,"KOI-94, 2MASS J19491993+4153280, KIC 6462863, KOI-94 A, Kepler-89, Kepler-89 A, WISE J194919.96+415327.9",
Kepler-89,Kepler-89 e,Confirmed,0.11,0.088,0.057,,,,0.585,0.055,0.055,54.32031,0.00012,0.00012,0.3046,0.004,0.004,0.019,0.23,0.23,89.76,0.15,0.15,,2013,08/03/2021,,,,,,,2454994.238,0.0012,0.0012,2454994.24,0.00079,0.00079,,,,,,,0.18,0.11,0.11,,,,4.5,3.5,2.3,584,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19491993+4153280 e, K00094.03, KIC 6462863 e, KOI-94 A e, KOI-94.03, Kepler-89 A e, Kepler-89 e, WISE J194919.96+415327.9  e, KOI-94 e",,KOI-94,297.333057,41.891117,12.4,,11.218,10.957,,483.65,5.05,5.05,0.023,0.002,0.002,1.28,0.05,0.05,1.52,0.14,0.14,,3.16,-0.39,0.39,6182,58,58,,,"KOI-94, 2MASS J19491993+4153280, KIC 6462863, KOI-94 A, Kepler-89, Kepler-89 A, WISE J194919.96+415327.9",
Kepler-9,Kepler-9 b,Confirmed,0.13655,0.00629,0.00503,,,,0.74,0.038,0.048,19.23891,6.00E-05,6.00E-05,0.143,0.001,0.001,0.0609,0.0013,0.001,88.982,0.005,0.007,,2010,05/02/2021,357,0.4,0.5,,,,2454977.512,0.065,0.065,2455073.434,0.00052,0.00052,,,,347,16,16,0.59,0.05,0.06,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19021775+3824032 b, K00377.01, KIC 3323887 b, KOI-377 b, KOI-377.01, WISE J190217.77+382402.9  b",,Kepler-9,285.573981,38.400892,13.9,,12.71,12.391,,614,13,13,0.05,0.07,0.07,1.02,0.04,0.03,0.96,0.02,0.02,,2,-1.3,2,5774,60,60,,,"2MASS J19021775+3824032, KIC 3323887, KOI-377, WISE J190217.77+382402.9",
Kepler-9,Kepler-9 c,Confirmed,0.09408,0.00409,0.00346,,,,0.721,0.037,0.048,38.9853,0.0003,0.0003,0.227,0.008,0.012,0.06691,0.00012,0.0001,89.188,0.006,0.005,,2010,05/02/2021,167.5,0.1,0.1,,,,2454968.84,0.2,0.2,2455164.183,0.00074,0.00074,,,,,,,0.74,0.04,0.04,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19021775+3824032 c, K00377.02, KIC 3323887 c, KOI-377 c, KOI-377.02, WISE J190217.77+382402.9  c",,Kepler-9,285.573981,38.400892,13.9,,12.71,12.391,,614,13,13,0.05,0.07,0.07,1.02,0.04,0.03,0.96,0.02,0.02,,2,-1.3,2,5774,60,60,,,"2MASS J19021775+3824032, KIC 3323887, KOI-377, WISE J190217.77+382402.9",
Kepler-9,Kepler-9 d,Confirmed,0.016518264,0.005506088,0.005506088,,,,0.146,0.012,0.017,1.592851,4.50E-05,4.50E-05,0.0273,0.00043,0.00042,,,,,,,,2010,05/02/2021,,,,,,,2455015.094,0.0033,0.0018,2455015.094,0.0033,0.0033,,,,,,,,,,,,,,,,2026,60,60,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19021775+3824032 d, K00377.03, KIC 3323887 d, KOI-377 d, KOI-377.03, WISE J190217.77+382402.9  d",,Kepler-9,285.573981,38.400892,13.9,,12.71,12.391,,614,13,13,0.05,0.07,0.07,1.02,0.04,0.03,0.96,0.02,0.02,,2,-1.3,2,5774,60,60,,,"2MASS J19021775+3824032, KIC 3323887, KOI-377, WISE J190217.77+382402.9",
Kepler-92,Kepler-92 b,Confirmed,0.202,0.044,0.044,,,,0.313,0.009,0.009,13.749,,,,,,0.17,0.17,0.1,,,,,2013,05/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19162065+4133465 b, K00285.01, KIC 6196457 b, KOI-285 b, KOI-285.01, WISE J191620.65+413346.7  b",,Kepler-92,289.086058,41.562941,11.6,,10.747,10.47,,484.62,5.48,5.48,0.17,0.11,0.11,1.209,0.46,0.34,1.53,0.03,0.019,,5.52,0.48,0.51,5883,94,94,,,"2MASS J19162065+4133465, KIC 6196457, KOI-285, WISE J191620.65+413346.7",
